sensor,post-decision,normalizado,milisegundos,decision,ultima_modificacion,raw_minimo,raw_maximo,raw_cuartil1,raw_cuartil2,raw_cuartil3,alpha_minimo,alpha_maximo,alpha_cuartil1,alpha_cuartil2,alpha_cuartil3,beta_minimo,beta_maximo,beta_cuartil1,beta_cuartil2,beta_cuartil3,delta_minimo,delta_maximo,delta_cuartil1,delta_cuartil2,delta_cuartil3,theta_minimo,theta_maximo,theta_cuartil1,theta_cuartil2,theta_cuartil3,gamma_minimo,gamma_maximo,gamma_cuartil1,gamma_cuartil2,gamma_cuartil3
AF7,False,False,500,p,2023-05-24 22:13:32,0.0,897326.0,783.69965,794.9817,805.8608,-0.539022,2.7881663,0.08352125,0.27129132,0.45655087,-0.56976575,626.0,0.048004504,0.26544365,0.5394111,-0.91780853,3.2916439,-0.0029407367,0.29854292,0.6607634,-1.129176,2.3549833,-0.13026197,0.07994519,0.35172924,-1.0493729,1.6273164,-0.20080045,0.0397214,0.34073886
AF7,False,False,500,q,2023-05-24 22:13:32,0.0,850989.0,782.8938,794.9817,805.8608,-0.74618196,2.4051852,0.08977746,0.26740825,0.46200308,-0.3777526,1.7874836,0.059886053,0.26665822,0.5458485,-0.94981176,3.1988592,0.0,0.28405175,0.6685839825,-0.89886993,2.250897,-0.12770437,0.08934533,0.37671983,-0.68430334,1.4622886,-0.19150496,0.026765747,0.35814294
AF7,True,False,0,p,2023-05-24 22:13:32,0.0,1152381.0,784.10254,795.38464,806.6667,-1.1518157,2.7881663,0.07075531,0.24493119,0.43519738,-0.6843119,716.0,0.060220473,0.26253343,0.5499316,-0.8839609,3.3304386,-0.05427323,0.20421252,0.5620153,-0.9372905,2.3869536,-0.15206127,0.019991428,0.27166516,-1.067935,1.6286527,-0.18479922,0.04632492,0.3523222
AF7,True,False,0,q,2023-05-24 22:13:32,0.0,897326.0,781.685,794.57874,806.26373,-0.56136715,2.4051852,0.079755895,0.25822535,0.45683166,-0.6899783,1.7677162,0.054183546,0.27429843,0.55225223,-0.95329285,2.9357789,-0.048822574,0.18641794,0.5728932,-0.93267596,1.98489,-0.14310998,0.029161658,0.31782106,-1.033676,1.6142617,-0.17532712,0.040466994,0.3669766
AF8,False,False,500,p,2023-05-24 22:13:32,0.0,931978.0,787.72894,794.9817,801.8315,-0.67911375,2.758081,0.061969314,0.25626096,0.46323958,-0.506591,1.7312526,-0.024727926,0.22900742,0.48601538,-0.86139864,3.170003,0.0,0.31569046,0.6759324,-1.0366381,2.2247066,-0.16138728,0.056576565,0.36488396,-0.9917957,1.3405037,-0.3444441,-0.04037619,0.2355484
AF8,False,False,500,q,2023-05-24 22:13:32,0.0,862674.0,787.326,794.57874,801.8315,-0.68148136,2.61565,0.056691553,0.25947717,0.47245005,-0.50441647,1.5120878,-0.038348135,0.21102698,0.46973714,-0.84863025,2.9386191,-0.014549626,0.2893612,0.66203016,-0.86752146,1.987675,-0.17097917,0.05514441,0.38321596,-1.0476812,1.3442014,-0.36207,-0.063524134,0.22469983
AF8,True,False,0,p,2023-05-24 22:13:32,0.0,960989.0,786.9231,794.57874,801.8315,-0.6281328,2.758081,0.04256128,0.2197792,0.42433083,-0.48679006,1.7196876,-0.046813544,0.21907192,0.47875926,-1.0070719,3.1675844,-0.05965373,0.20971258,0.58878094,-0.96446973,2.2167096,-0.20921831,0.0,0.29967123,-1.0415468,1.4283311,-0.3650915,-0.04997734,0.22803553
AF8,True,False,0,q,2023-05-24 22:13:32,0.0,891685.0,786.1172,794.17584,801.4286,-0.66242784,2.61565,0.03126677,0.22636014,0.45687616,-0.50873446,1.8393896,-0.06635276,0.1881056,0.45953402,-0.8338818,3.2705128,-0.027137855,0.22530112,0.5945835,-0.88945574,2.3276541,-0.18203692,0.0,0.30528274,-1.2169583,1.3223147,-0.40072998,-0.057277642,0.21770443
TP9,False,False,500,p,2023-05-24 22:13:32,0.0,1649597.0,125.311356,781.685,827.619,-3.470564,3.3688366,0.0,0.0,0.62431157,-3.3787923,2.629875,0.0,0.0,0.5182396,-3.5619411,4.0913587,0.0,0.0,0.5557477,-3.3282535,3.1496458,0.0,0.0,0.38666728,-3.4615107,2.031468,0.0,0.0,0.1545995
TP9,False,False,500,q,2023-05-24 22:13:32,0.0,1649597.0,118.46154,782.8938,823.1868,-3.470564,3.3688366,0.0,0.0,0.627248,-3.3787923,2.629875,0.0,0.0,0.53256196,-3.5619411,4.0913587,0.0,0.0,0.5757732,-3.3282535,3.1496458,0.0,0.0,0.43287504,-3.4615107,2.031468,0.0,0.0,0.16474068
